review,filtered
Kebun binatang mini dengan santorini yg memukau. Sesuai dengn harga tiket. Kandang kucingnya aja yg bau. Ada petugas yg standby kalau kita mau foto dengan hewan.,"['kebun', 'binatang', 'mini', 'santorini', 'yg', 'pukau', 'sesuai', 'dengn', 'harga', 'tiket', 'kandang', 'kucing', 'aja', 'yg', 'bau', 'tugas', 'yg', 'standby', 'foto', 'hewan']"
"Suasana sejuk, banyak satwa yg bisa dilihat. Spot foto sangat menarik dan pemandangan juga indah. Tempat parkir motor dan mobil luas serta tidak jauh dari lokasi wisata. Kamar mandinya tolong diperhatikan lagi kebersihannya. …","['suasana', 'sejuk', 'satwa', 'yg', 'lihat', 'spot', 'foto', 'tarik', 'pandang', 'indah', 'parkir', 'motor', 'mobil', 'luas', 'lokasi', 'wisata', 'kamar', 'mandi', 'tolong', 'perhati', 'bersih', '']"
"Bagusss bgt tempatnya banyak spot foto yg menarik
Bersih
Koleksi binatangnya lumayan banyak …","['bagusss', 'bgt', 'spot', 'foto', 'yg', 'tarik', 'bersih', 'koleksi', 'binatang', 'lumayan', '']"
"Tempatnya adem pas buat anakanak kecil main, ada banyak binatang dan tempat2 foto yang kekinian ada santorini kw yg banyak dipakai buat foto sampe antri antri, tiket masuk 20rb","['adem', 'pas', 'anakanak', 'main', 'binatang', 'foto', 'santorini', 'kw', 'yg', 'pakai', 'foto', 'sampe', 'antri', 'antri', 'tiket', 'masuk', 'rb']"
"Wisata ramah anak, ada beberapa hewan yg bisa dilihat,, jenis reptil, burung, luwak. Tempatnya jg instagramable banget. Bikin2 story, ato buat prewed juga bisa. Baru disini, kita bisa merasakan di kejar burung,🤣 …","['wisata', 'ramah', 'anak', 'hewan', 'yg', 'lihat', 'jenis', 'reptil', 'burung', 'luwak', 'jg', 'instagramable', 'banget', 'bikin', 'story', 'ato', 'prewed', 'kejar', 'burung', '']"
"Bukan weekend jd ga rame bgt
Ada hewan baru dr terakhir kesana
Overall masi lmyn
Tiket 35k/orh","['weekend', 'jd', 'ga', 'rame', 'bgt', 'hewan', 'dr', 'kesana', 'overall', 'mas', 'lmyn', 'tiket', 'korh']"
Tempaat menurut saya bagus.. buat anak dan keluarga.. bisa kasih makan langsung satwa disana juga cocok buat santai sekedaar ngopi bersama teman dekat atau patner bisnis. Lokasi juga mudah sekali dari jalan raya kaliurang  10 meter.. masuk gang dikit,"['tempaat', 'bagus', 'anak', 'keluarga', 'kasih', 'makan', 'langsung', 'satwa', 'cocok', 'santai', 'sekedaar', 'ngopi', 'teman', 'patner', 'bisnis', 'lokasi', 'mudah', 'jalan', 'raya', 'kaliurang', 'meter', 'masuk', 'gang', 'dikit']"
Kesini saat weekend HTM 30k. Spot foto lang² buana diwaktu 10 menit untuk 25 orang. Banyak binatang² bisa untuk diberi makan anak²,"['kesini', 'weekend', 'htm', 'k', 'spot', 'foto', 'lang', 'buana', 'menit', 'orang', 'binatang', 'makan', 'anak']"
Asri banget buat wisata kalian disini suasananya sejuk. Dan spot foto nya serasa diluar negri loh lur👌👌 pokok nya ajak keluarga dan teman dekat kalian …,"['asri', 'banget', 'wisata', 'suasana', 'sejuk', 'spot', 'foto', 'nya', 'serasa', 'negri', 'loh', 'lur', 'pokok', 'nya', 'ajak', 'keluarga', 'teman', '']"
"berkunjung kesini hari senin kemarin, tempatnya enak, rindang, adem, awal masuk gak banyak orang jadi bisa foto2 sepuasnya tapi semakin siang semakin ramai orang karena udah mulai libur sekolah.. cocok untuk ajak keluarga dari anak2 sampai lansia, recommended 🫶 …","['kunjung', 'kesini', 'senin', 'kemarin', 'enak', 'rindang', 'adem', 'masuk', 'gak', 'orang', 'foto', 'puas', 'siang', 'ramai', 'orang', 'udah', 'libur', 'sekolah', 'cocok', 'ajak', 'keluarga', 'anak', 'lansia', 'recommended', '', '']"
Tempat wisata yg cocok untuk anak2. Pas kesana weekday tdk terlalu ramai sehingga bisa puas menikmati suasananya. Bisa lihat beberapa hewan secara langsung juga. Semoga bisa ditingkatkan lagi fasilitasnya yaa 🤗 …,"['wisata', 'yg', 'cocok', 'anak', 'pas', 'kesana', 'weekday', 'tdk', 'ramai', 'puas', 'nikmat', 'suasana', 'lihat', 'hewan', 'langsung', 'moga', 'tingkat', 'fasilitas', 'yaa', '', '']"
"Pengalaman yang seru ke bhumi merapi karena ada wisata ala santorini yang sangat luas, sampai 2 kali. Untuk tiket seharga 30rb/orang terbilang murah. Saran untuk kesini saat jam buka, yaitu jam 9 pagi, waktu cuaca cerah-cerahnya... Semoga tempat ala-alanya diperluas, bukan cuma santorini.","['alam', 'seru', 'bhumi', 'rapi', 'wisata', 'ala', 'santorini', 'luas', 'kali', 'tiket', 'harga', 'rborang', 'bilang', 'murah', 'saran', 'kesini', 'jam', 'buka', 'jam', 'pagi', 'cuaca', 'cerahcerahnya', 'moga', 'alaalanya', 'luas', 'santorini']"
"tempat rekomended untuk santau keluarga. hanya saja dikatakan Zoo, lokasi nya lumayan kecil untuk zoo. Bisa dibilang mini zoo. Jd ngga perlu waktu lama untk bermain disini kecuali mau santai2. Ada foto2 bagus seperti di santorini. ada sewaan baju untuk foto2.","['rekomended', 'santau', 'keluarga', 'zoo', 'lokasi', 'nya', 'lumayan', 'zoo', 'bilang', 'mini', 'zoo', 'jd', 'ngga', 'untk', 'main', 'kecuali', 'santai', 'foto', 'bagus', 'santorini', 'sewa', 'baju', 'foto']"
"Tempat nya bagus, parkirnya luas, kalau pas ramai yg mau foto² harus bisa mengkondisikan","['nya', 'bagus', 'parkir', 'luas', 'pas', 'ramai', 'yg', 'foto', 'kondisi']"
"Tempatnya cukup luas, bersih, harga tiket murah yang sudah termasuk untuk berbagai spot didalamnya, terdapat beberapa hewan dan tumbuhan serta berbagai spot foto yang salah satunya paling diminati adalah santorini.","['luas', 'bersih', 'harga', 'tiket', 'murah', 'masuk', 'spot', 'hewan', 'tumbuh', 'spot', 'foto', 'salah', 'mati', 'santorini']"
"Sangat cocok untuk wisata keluarga. Ada koleksi hewan-hewan, spot fito di kebun dan miniatur kota seperti di luar negeri. Ada wahana naik kuda jiga","['cocok', 'wisata', 'keluarga', 'koleksi', 'hewanhewan', 'spot', 'fito', 'kebun', 'miniatur', 'kota', 'negeri', 'wahana', 'kuda', 'jiga']"
"Agro wisata bhumi merapi salah satu tempat wisata yang cukup baru di Jogja. Lingkungan yang masih asri dan udara yang segar cocok untuk weekend bareng keluarga, pacar, atau pun teman. Di sana para wisatawan bisa berinteraksi dengan binatang …","['agro', 'wisata', 'bhumi', 'rapi', 'salah', 'wisata', 'jogja', 'lingkung', 'asri', 'udara', 'segar', 'cocok', 'weekend', 'bareng', 'keluarga', 'pacar', 'teman', 'wisatawan', 'interaksi', 'binatang', '']"
"Lokasi disekitar jalan kaliurang atas tapi sebelum TPR. Terdapat tempat parkir yang cukup luas. Tempatnya cocok untuk liburan bersama anak2. Di sana bisa melihat dan berinteraksi bersama binatang seperti kelinci, kuda, kambing, domba, …","['lokasi', 'jalan', 'kaliurang', 'tpr', 'parkir', 'luas', 'cocok', 'libur', 'anak', 'lihat', 'interaksi', 'binatang', 'kelinci', 'kuda', 'kambing', 'domba', '']"
Salah satu tempat wisata edukasi yang recommended untuk keluarga. Tiket masuk yg sangat terjangkau ditambah dengan fasilitas pendukung yg sangat lengkap. …,"['salah', 'wisata', 'edukasi', 'recommended', 'keluarga', 'tiket', 'masuk', 'yg', 'jangkau', 'fasilitas', 'dukung', 'yg', 'lengkap', '']"
"Bisa sampai di tempat ini karena Instagram (thx berat IG) dan benar2 seneng banget, keren banget tempatnya, apalagi kalau Anda berniat datang bareng keluarga/ anak2.. Disini kita bisa mengenalkan anak pada banyak hewan. Tidak hanya menunjuk …","['instagram', 'thx', 'berat', 'ig', 'neng', 'banget', 'keren', 'banget', 'niat', 'bareng', 'keluarga', 'anak', 'kenal', 'anak', 'hewan', '']"
"Ada mini zoo dg hewan2 yg bagus2 termasuk berbagai macam kucing. Bisa foto dg burung2 & ular gratis. Karyawannya ramah2. Tempatnya luas, bersih & asri. …","['mini', 'zoo', 'dg', 'hewan', 'yg', 'bagus', 'masuk', 'kucing', 'foto', 'dg', 'burung', 'ular', 'gratis', 'karyawannya', 'ramah', 'luas', 'bersih', 'asri', '']"
"Tempat berlibur untuk semua kalangan..
Bapak-bapak, ibu-ibu, anak kecil, remaja, dewasa.
Bisa bawa keluarga, teman, atau pasangan kesini~","['libur', 'kalang', 'bapakbapak', 'ibuibu', 'anak', 'remaja', 'dewasa', 'bawa', 'keluarga', 'teman', 'pasang', 'kesini']"
"Ajak anak2 anda ke sini dan gak akan kecewa. Interaksi sama alam dan hewan-hewan sampai puas. Cm catatan untuk pengelola, hewan2 jangan sampai dibiarkan kelaparan ya","['ajak', 'anak', 'gak', 'kecewa', 'interaksi', 'alam', 'hewanhewan', 'puas', 'cm', 'catat', 'kelola', 'hewan', 'biar', 'lapar', 'ya']"
Lumayan bagus untuk pengenalan hewan buat anak anak. Ada spot foto juga.tiket masuknya 25k. Kalau mau naik kuda nanti bayar lagi tiketnya 20k utk satu putaran.,"['lumayan', 'bagus', 'kenal', 'hewan', 'anak', 'anak', 'spot', 'foto', 'jugatiket', 'masuk', 'k', 'kuda', 'bayar', 'tiket', 'k', 'utk', 'putar']"
"Tempatnya bagus banyak spot foto saya datang hari sabtu tapi jam 4 sore sepi tidak antri saat masuk dan di lokasi juga tidak terlalu ramai, banyak hewan hewanyaa tempatnya bersih bagus ✨","['bagus', 'spot', 'foto', 'sabtu', 'jam', 'sore', 'sepi', 'antri', 'masuk', 'lokasi', 'ramai', 'hewan', 'hewanyaa', 'bersih', 'bagus', '']"
"Kalo ke jogja dan sedang di area kaliurang bisa coba ke fun farming bumi merapi . Tempatnya walau gak besar tp nyaman . Anak2 pasti suka . Ada bbrp macam hewan , bisa naek kuda , kasi susu domba / main sama kelinci . Letaknya ga terlalu …","['kalo', 'jogja', 'area', 'kaliurang', 'coba', 'fun', 'farming', 'bumi', 'rapi', 'gak', 'tp', 'nyaman', 'anak', 'suka', 'bbrp', 'hewan', 'naek', 'kuda', 'kasi', 'susu', 'domba', 'main', 'kelinci', 'letak', 'ga', '']"
"Tiket masuk 30rb tempatnya bersih,banyak spot foto bagus2 ada hewan2nya jg..","['tiket', 'masuk', 'rb', 'bersihbanyak', 'spot', 'foto', 'bagus', 'hewan', 'jg']"
"Menurutku ini untuk wisata anaknya lumayan sih ya cuma kaya kurang hidup ya gak sih? atau mungkin belom terbangun semua yaa…ada hewan2 yang bisa diliat dan menarik untuk bocil2 tapi agak kaya kurang gress gmn gitu mnrtku, ada playground2 …","['wisata', 'anak', 'lumayan', 'sih', 'ya', 'kaya', 'hidup', 'ya', 'gak', 'sih', 'bom', 'bangun', 'yaa ada', 'hewan', 'liat', 'tarik', 'bocil', 'kaya', 'gress', 'gmn', 'gitu', 'mnrtku', 'playground', '']"
"Bagus dan bersih.
Saran saya datengnya sebelum jam 9, biar begitu buka bisa langsung masuk. Karena kalo siang panas banget. Atau sore sekalian sekitar jam 15 sampai tutup.
Banyak spot foto Instagramable.","['bagus', 'bersih', 'saran', 'datengnya', 'jam', 'biar', 'buka', 'langsung', 'masuk', 'kalo', 'siang', 'panas', 'banget', 'sore', 'jam', 'tutup', 'spot', 'foto', 'instagramable']"
"Konsepnya seperti mini zoo, dilengakapi spot photo dengan background destinasi  wisata terkenal dunia, cocok dikunjungi bersama keluarga.. tersedia jg beberapa resto dan coffeeshop dengan menu cukup bervariasi, suasana nyaman, very recommended 👍👍 …","['konsep', 'mini', 'zoo', 'dilengakapi', 'spot', 'photo', 'background', 'destinasi', 'wisata', 'kenal', 'dunia', 'cocok', 'kunjung', 'keluarga', 'sedia', 'jg', 'resto', 'coffeeshop', 'menu', 'variasi', 'suasana', 'nyaman', 'very', 'recommended', '', '']"
"lebih ke hiburan anak2 sih, banyak hewan2, tp ada tempat yg pas buat orang dewasa dibagian ala2 santorini, klo bisa datengnya jgn siang2 bgt dan kebetulan belom rame sama orang2","['hibur', 'anak', 'sih', 'hewan', 'tp', 'yg', 'pas', 'orang', 'dewasa', 'ala', 'santorini', 'klo', 'datengnya', 'jgn', 'siang', 'bgt', 'bom', 'rame', 'orang']"
Tempat cuci tangan tersedia banyak. Lokasinya juga sejuk. HTM : 30k / orang. Cuma agak kesian sm hewan2nya kayak kelaperan gitu. Aquarium kurang terawat.,"['cuci', 'tangan', 'sedia', 'lokasi', 'sejuk', 'htm', 'k', 'orang', 'kesi', 'sm', 'hewan', 'kayak', 'kelaperan', 'gitu', 'aquarium', 'awat']"
"Temptnya cukup rame buat anak2 dan org dewasa, tiket masuk 35/orang. Kalo siang ckup pnas. Harga makanan mengikuti harga di tempat wisata","['temptnya', 'rame', 'anak', 'org', 'dewasa', 'tiket', 'masuk', 'orang', 'kalo', 'siang', 'ckup', 'pnas', 'harga', 'makan', 'harga', 'wisata']"
"Tidak terlalu luas, suasana sepi, tdk ada musik. Pembayaran hanya bisa cash. Seharusnya bisa cashless jg.
Setau saya mushola kecil hanya ada 1 di pojok.","['luas', 'suasana', 'sepi', 'tdk', 'musik', 'bayar', 'cash', 'cashless', 'jg', 'tau', 'mushola', 'pojok']"
"Ini foto teman saya kesini setelah hujan. Spot foto menarik, instagrammable, menggambarkan miniatur konstruksi negara lain. HTM dikenakan 30k, syarat masuk scan barcode vaksin dari peduli lindungi. Saat itu weekend pengunjung ramai. Disana ada peternakan juga","['foto', 'teman', 'kesini', 'hujan', 'spot', 'foto', 'tarik', 'instagrammable', 'gambar', 'miniatur', 'konstruksi', 'negara', 'htm', 'kena', 'k', 'syarat', 'masuk', 'scan', 'barcode', 'vaksin', 'peduli', 'lindung', 'weekend', 'unjung', 'ramai', 'terna']"
"Recommended. Bayar htm 30k aja udh bs gratis semua spot foto yg instagramable. Cocok jg buat yg ajak anak2 krn ada satwa2nya. Bisa dpt dua deh, wisata anak oke, dewasa oke. Akses jalannya juga bagus, tdk yg naik turun gunung. Tp emg ga ada view nya gunung merapi","['recommended', 'bayar', 'htm', 'k', 'aja', 'udh', 'bs', 'gratis', 'spot', 'foto', 'yg', 'instagramable', 'cocok', 'jg', 'yg', 'ajak', 'anak', 'krn', 'satwa', 'dpt', 'deh', 'wisata', 'anak', 'oke', 'dewasa', 'oke', 'akses', 'jalan', 'bagus', 'tdk', 'yg', 'turun', 'gunung', 'tp', 'emg', 'ga', 'view', 'nya', 'gunung', 'rapi']"
"Sebetulnya agak janggal dan ganjal sama mini zoonya karena aku memang gak suka dengan konsep zoo yang dibuat tanpa persiapan proper apalagi kandangnya kecil. Im just simply don't like and against it. Tapi selain itu, tempatnya bagus, …","['janggal', 'ganjal', 'mini', 'zoonya', 'gak', 'suka', 'konsep', 'zoo', 'proper', 'kandang', 'im', 'just', 'simply', 'dont', 'like', 'and', 'against', 'it', 'bagus', '']"
Tempat yg cocok buat mengexplore skaligis kasih edukasi buat anak² kita untuk lebih mengenal alam dan berbagai jenis binatang walau ini like a mini zoo.,"['yg', 'cocok', 'mengexplore', 'skaligis', 'kasih', 'edukasi', 'anak', 'kenal', 'alam', 'jenis', 'binatang', 'like', 'a', 'mini', 'zoo']"
"Jalan menuju lokasi sudah cukup bagus, engga terlalu sempit juga. Cuma penunjuk arah menuju lokasi sepanjang perjalanan yang agak kurang, harusnya bisa ditambah agar memudahkan para pelancong. Apalagi yang dari luar Jogja. Fasilitas umum …","['jalan', 'tuju', 'lokasi', 'bagus', 'engga', 'sempit', 'arah', 'tuju', 'lokasi', 'jalan', 'mudah', 'lancong', 'jogja', 'fasilitas', '']"
"Tempatnya bersih, banyak tempat sampah di sudut2 taman, ada handsoap di tempat pencucian tangan, orangnya ramah2, jalanannya ramah kursi roda","['bersih', 'sampah', 'sudut', 'taman', 'handsoap', 'cuci', 'tangan', 'orang', 'ramah', 'jalan', 'ramah', 'kursi', 'roda']"
"Tempat selfie dengan background bangunan2 ala santorini, alpen house. Disediakan juga persewaan kostum agar fotonya lebih maksimal sesuai tema yg diusung. Tiket masuknya 20rb yg bisa ditukar dgn fresh milk","['selfie', 'background', 'bangun', 'ala', 'santorini', 'alpen', 'house', 'sedia', 'sewa', 'kostum', 'foto', 'maksimal', 'sesuai', 'tema', 'yg', 'usung', 'tiket', 'masuk', 'rb', 'yg', 'tukar', 'dgn', 'fresh', 'milk']"
"sangat instagramable, cocok untuk wisata keluarga, krn banyak hewan2 dan bisa diajak foto bersama.","['instagramable', 'cocok', 'wisata', 'keluarga', 'krn', 'hewan', 'ajak', 'foto']"
"Baguss, ada hewan2 nya ada ular juga, kita bisa foto2 kaya diluar negeri.","['baguss', 'hewan', 'nya', 'ular', 'foto', 'kaya', 'negeri']"
"Agro wisata bhumi merapi bagussss banget. Saya dateng pas banget sepi karna abis hujan. Koleksi binatangnya banyak, spot fotonya banyak dan bagus bagus bgt, fasilitas lengkap, bisa kasih makan hewan juga. Tempatnya lumayan luas, parkirannya …","['agro', 'wisata', 'bhumi', 'rapi', 'bagussss', 'banget', 'dateng', 'pas', 'banget', 'sepi', 'karna', 'abis', 'hujan', 'koleksi', 'binatang', 'spot', 'foto', 'bagus', 'bagus', 'bgt', 'fasilitas', 'lengkap', 'kasih', 'makan', 'hewan', 'lumayan', 'luas', 'parkir', '']"
Salah satu alternatif tempat wisata keluarga di Kaki Merapi. Tempatnya berhawa sejuk dan sangat luas. Anak-anak pasti akan suka. …,"['salah', 'alternatif', 'wisata', 'keluarga', 'kaki', 'rapi', 'hawa', 'sejuk', 'luas', 'anakanak', 'suka', '']"
"Wisata edukasi yang menarik buat anak-anak. Di sini anak-anak bisa bermain dengan kelinci, kura-kura, juga memberi minum kambing menggunakan dot. Ada rumah hobbit juga untuk berfoto. Fasilitasnya terbilang lengkap. Ada warung, mushola, dan …","['wisata', 'edukasi', 'tarik', 'anakanak', 'anakanak', 'main', 'kelinci', 'kurakura', 'minum', 'kambing', 'dot', 'rumah', 'hobbit', 'foto', 'fasilitas', 'bilang', 'lengkap', 'warung', 'mushola', '']"
Tempatnya adem banyak pepohonan. Ada banyak hewan-hewan kecil yang disukai anak-anak seperti berbagai jenis varian kelinci. Yang paling favorit banyak dikunjungi wisatawan adalah ular Piton dan burung Kakatua karena menarik untuk difoto. Walaupun hari libur nasional namun antrian masuk tidak begitu panjang.,"['adem', 'pohon', 'hewanhewan', 'suka', 'anakanak', 'jenis', 'varian', 'kelinci', 'favorit', 'kunjung', 'wisatawan', 'ular', 'piton', 'burung', 'kakatua', 'tarik', 'foto', 'libur', 'nasional', 'antri', 'masuk']"
Tempat nya oke banget...selain spot foto2 nya yg menarik.....juga ada binatang2 yg bisa kita kasih makan...dan bs diajak foto juga....😀 jadi ini tmpat wisata dgn paket lengkap deh pokok nya...👍👍👍😍 …,"['nya', 'oke', 'bangetselain', 'spot', 'foto', 'nya', 'yg', 'menarikjuga', 'binatang', 'yg', 'kasih', 'makandan', 'bs', 'ajak', 'foto', 'tmpat', 'wisata', 'dgn', 'paket', 'lengkap', 'deh', 'pokok', 'nya', '']"
Terakhir kesini 4 tahun lalu dan kemarin akhirnya kesini dg para krucils alhamdulillah makin lengkap dan anak2 suka dengan aneka satwa dsitu dan tentunya makin menarik. Ramai karena weekend tp tetep seru karena tempat luas jadi tetap aman lah gk terlalu berjubel hehee,"['kesini', 'kemarin', 'kesini', 'dg', 'krucils', 'alhamdulillah', 'lengkap', 'anak', 'suka', 'aneka', 'satwa', 'dsitu', 'tarik', 'ramai', 'weekend', 'tp', 'tetep', 'seru', 'luas', 'aman', 'gk', 'jubel', 'hehee']"
"Hawanya sejuk krn banyak pepohonan, ada mini zoonya cocok juga utk wisata edukasi anak2, dan yg paling saya suka adalah spot foto ala eropanya. Gokil! Rekomended bangett","['hawa', 'sejuk', 'krn', 'pohon', 'mini', 'zoonya', 'cocok', 'utk', 'wisata', 'edukasi', 'anak', 'yg', 'suka', 'spot', 'foto', 'ala', 'eropanya', 'gokil', 'rekomended', 'bangett']"
"Bersih.. ya kalo ada bau2 dikit wajar, kan kandang. cocok buat momong bocah. Ada berkuna, mini train dan spot foto bagus","['bersih', 'ya', 'kalo', 'bau', 'dikit', 'wajar', 'kandang', 'cocok', 'momong', 'bocah', 'berkuna', 'mini', 'train', 'spot', 'foto', 'bagus']"
"Pas datang ke lokasinya pas ujan,suasana jadi syahdu dingin,tp buat edukasi anak lumayan bagus.","['pas', 'lokasi', 'pas', 'ujansuasana', 'syahdu', 'dingintp', 'edukasi', 'anak', 'lumayan', 'bagus']"
Tempat wisata yang bagus untuk keluarga dan anak2.. bisa kasi makan kelinci…,"['wisata', 'bagus', 'keluarga', 'anak', 'kasi', 'makan', 'kelinci']"
Rekomen utk yg suka spot spot foto instagramable,"['rekomen', 'utk', 'yg', 'suka', 'spot', 'spot', 'foto', 'instagramable']"
Tempat wisata yang menarik ada binatang binatang nya juga... Spot fotonya bagus2.,"['wisata', 'tarik', 'binatang', 'binatang', 'nya', 'spot', 'foto', 'bagus']"
"Tempatnya ok. Untuk makan berat adanya di kuar . 1 tiket harga 30k. Untuk yg spot foto bagus di lalang buana. Petunjuknya agak kurang jelas. Tanya aja ke pegawainya ""yg kayak santorini dimana?"" Karena lumayan jauh dari tempet tiket masuk","['ok', 'makan', 'berat', 'kuar', 'tiket', 'harga', 'k', 'yg', 'spot', 'foto', 'bagus', 'lalang', 'buana', 'aja', 'pegawai', 'yg', 'kayak', 'santorini', 'lumayan', 'tempet', 'tiket', 'masuk']"
"Small zoo, banyak spot foto yang cukup menarik.

Di tempat ini kota bisa melihat beberapa jenis satwa seperti burung hantu, nuri, …","['small', 'zoo', 'spot', 'foto', 'tarik', 'kota', 'lihat', 'jenis', 'satwa', 'burung', 'hantu', 'nuri', '']"
"Tempatnya keren...ada mini zoonya yg bisa buat anak2 belajar dan menyayangi hewan, ada spot foto yg kerenlah, ada tempat bermainnya anak2, ada cafenya.anak2 suka.masnya pendamping kudanya juga sabar banget dan gemati jagaain anak yg sedang …","['kerenada', 'mini', 'zoonya', 'yg', 'anak', 'ajar', 'sayang', 'hewan', 'spot', 'foto', 'yg', 'keren', 'main', 'anak', 'cafenyaanak', 'sukamasnya', 'damping', 'kuda', 'sabar', 'banget', 'gemati', 'jagaain', 'anak', 'yg', '']"
"Agro wisata Bumi Merapi tempatnya sangat sejuk, Asri, dan Indah, tiket murah kulinernya juga murah, enak, cocok dilidah siapa saja, bisa untuk wisata para pelajar sebagai pengalaman yang sangat menarik","['agro', 'wisata', 'bumi', 'rapi', 'sejuk', 'asri', 'indah', 'tiket', 'murah', 'kuliner', 'murah', 'enak', 'cocok', 'lidah', 'wisata', 'ajar', 'alam', 'tarik']"
"Awalnya tidak sesuai ekspektasi, tp ya lumayan lah tempatnya buat hunting foto yg instagramable, sayang rame bgt tdk d batasi jd kurang nyaman buat hunting foto","['sesuai', 'ekspektasi', 'tp', 'ya', 'lumayan', 'hunting', 'foto', 'yg', 'instagramable', 'sayang', 'rame', 'bgt', 'tdk', 'd', 'batas', 'jd', 'nyaman', 'hunting', 'foto']"
"Tempatnya bagus asri bersih, cocok membawa balita untuk memperkenalkan hewan. Hewan2 juga terawat dgn baik. Tiket masuk terjangkau, parkir luas, banyak spot. Banyak foodtruck juga tidak khawatir kelaparan.","['bagus', 'asri', 'bersih', 'cocok', 'bawa', 'balita', 'kenal', 'hewan', 'hewan', 'awat', 'dgn', 'tiket', 'masuk', 'jangkau', 'parkir', 'luas', 'spot', 'foodtruck', 'khawatir', 'lapar']"
