text,Label, , .1, .2, .3, .4, .5, .6,predicted_label_id,predicted_label,confidence
Tempat wisata yg cocok untuk anak2. Pas kesana weekday tdk terlalu ramai sehingga bisa puas menikmati suasananya. Bisa lihat beberapa hewan secara langsung juga. Semoga bisa ditingkatkan lagi fasilitasnya yaa 🤗 …,Netral, , , , , , , ,1,Netral,0.8672
"Pengalaman yang seru ke bhumi merapi karena ada wisata ala santorini yang sangat luas, sampai 2 kali. Untuk tiket seharga 30rb/orang terbilang murah. Saran untuk kesini saat jam buka, yaitu jam 9 pagi, waktu cuaca cerah-cerahnya... Semoga tempat ala-alanya diperluas, bukan cuma santorini.", , , , , , , , ,2,Positif,0.8875
"tempat rekomended untuk santau keluarga. hanya saja dikatakan Zoo, lokasi nya lumayan kecil untuk zoo. Bisa dibilang mini zoo. Jd ngga perlu waktu lama untk bermain disini kecuali mau santai2. Ada foto2 bagus seperti di santorini. ada sewaan baju untuk foto2.",Netral, , , , , , , ,2,Positif,0.8822
"Tempat nya bagus, parkirnya luas, kalau pas ramai yg mau foto² harus bisa mengkondisikan",Positif, , , , , , , ,2,Positif,0.9567
"Tempatnya cukup luas, bersih, harga tiket murah yang sudah termasuk untuk berbagai spot didalamnya, terdapat beberapa hewan dan tumbuhan serta berbagai spot foto yang salah satunya paling diminati adalah santorini.",Netral, , , , , , , ,1,Netral,0.7894
"Sangat cocok untuk wisata keluarga. Ada koleksi hewan-hewan, spot fito di kebun dan miniatur kota seperti di luar negeri. Ada wahana naik kuda jiga", , , , , , , , ,2,Positif,0.9862
"Agro wisata bhumi merapi salah satu tempat wisata yang cukup baru di Jogja. Lingkungan yang masih asri dan udara yang segar cocok untuk weekend bareng keluarga, pacar, atau pun teman. Di sana para wisatawan bisa berinteraksi dengan binatang …",Positif, , , , , , , ,2,Positif,0.9763
"Lokasi disekitar jalan kaliurang atas tapi sebelum TPR. Terdapat tempat parkir yang cukup luas. Tempatnya cocok untuk liburan bersama anak2. Di sana bisa melihat dan berinteraksi bersama binatang seperti kelinci, kuda, kambing, domba, …",Netral, , , , , , , ,1,Netral,0.8437
Salah satu tempat wisata edukasi yang recommended untuk keluarga. Tiket masuk yg sangat terjangkau ditambah dengan fasilitas pendukung yg sangat lengkap. …,Positif, , , , , , , ,2,Positif,0.9841
"Bisa sampai di tempat ini karena Instagram (thx berat IG) dan benar2 seneng banget, keren banget tempatnya, apalagi kalau Anda berniat datang bareng keluarga/ anak2.. Disini kita bisa mengenalkan anak pada banyak hewan. Tidak hanya menunjuk …",Positif, , , , , , , ,2,Positif,0.9852
"Ada mini zoo dg hewan2 yg bagus2 termasuk berbagai macam kucing. Bisa foto dg burung2 & ular gratis. Karyawannya ramah2. Tempatnya luas, bersih & asri. …", , , , , , , , ,2,Positif,0.9851
"Tempat berlibur untuk semua kalangan..
Bapak-bapak, ibu-ibu, anak kecil, remaja, dewasa.
Bisa bawa keluarga, teman, atau pasangan kesini~", , , , , , , , ,2,Positif,0.9839
"Ajak anak2 anda ke sini dan gak akan kecewa. Interaksi sama alam dan hewan-hewan sampai puas. Cm catatan untuk pengelola, hewan2 jangan sampai dibiarkan kelaparan ya",Netral, , , , , , , ,1,Netral,0.8601
Lumayan bagus untuk pengenalan hewan buat anak anak. Ada spot foto juga.tiket masuknya 25k. Kalau mau naik kuda nanti bayar lagi tiketnya 20k utk satu putaran., , , , , , , , ,2,Positif,0.5652
"Tempatnya bagus banyak spot foto saya datang hari sabtu tapi jam 4 sore sepi tidak antri saat masuk dan di lokasi juga tidak terlalu ramai, banyak hewan hewanyaa tempatnya bersih bagus ✨",Positif, , , , , , , ,2,Positif,0.9691
"Kalo ke jogja dan sedang di area kaliurang bisa coba ke fun farming bumi merapi . Tempatnya walau gak besar tp nyaman . Anak2 pasti suka . Ada bbrp macam hewan , bisa naek kuda , kasi susu domba / main sama kelinci . Letaknya ga terlalu …", , , , , , , , ,2,Positif,0.5819
"Tiket masuk 30rb tempatnya bersih,banyak spot foto bagus2 ada hewan2nya jg..", , , , , , , , ,2,Positif,0.9768
"Menurutku ini untuk wisata anaknya lumayan sih ya cuma kaya kurang hidup ya gak sih? atau mungkin belom terbangun semua yaa…ada hewan2 yang bisa diliat dan menarik untuk bocil2 tapi agak kaya kurang gress gmn gitu mnrtku, ada playground2 …",Negatif, , , , , , , ,0,Negatif,0.9695
"Bagus dan bersih.
Saran saya datengnya sebelum jam 9, biar begitu buka bisa langsung masuk. Karena kalo siang panas banget. Atau sore sekalian sekitar jam 15 sampai tutup.
Banyak spot foto Instagramable.",Netral, , , , , , , ,1,Netral,0.8652
"Konsepnya seperti mini zoo, dilengakapi spot photo dengan background destinasi  wisata terkenal dunia, cocok dikunjungi bersama keluarga.. tersedia jg beberapa resto dan coffeeshop dengan menu cukup bervariasi, suasana nyaman, very recommended 👍👍 …", , , , , , , , ,2,Positif,0.977
"lebih ke hiburan anak2 sih, banyak hewan2, tp ada tempat yg pas buat orang dewasa dibagian ala2 santorini, klo bisa datengnya jgn siang2 bgt dan kebetulan belom rame sama orang2", , , , , , , , ,1,Netral,0.8996
Tempat cuci tangan tersedia banyak. Lokasinya juga sejuk. HTM : 30k / orang. Cuma agak kesian sm hewan2nya kayak kelaperan gitu. Aquarium kurang terawat.,Negatif, , , , , , , ,0,Negatif,0.9724
"Temptnya cukup rame buat anak2 dan org dewasa, tiket masuk 35/orang. Kalo siang ckup pnas. Harga makanan mengikuti harga di tempat wisata",Netral, , , , , , , ,1,Netral,0.8856
"Tidak terlalu luas, suasana sepi, tdk ada musik. Pembayaran hanya bisa cash. Seharusnya bisa cashless jg.
Setau saya mushola kecil hanya ada 1 di pojok.",Negatif, , , , , , , ,0,Negatif,0.9741
"Ini foto teman saya kesini setelah hujan. Spot foto menarik, instagrammable, menggambarkan miniatur konstruksi negara lain. HTM dikenakan 30k, syarat masuk scan barcode vaksin dari peduli lindungi. Saat itu weekend pengunjung ramai. Disana ada peternakan juga", , , , , , , , ,2,Positif,0.9283
"Recommended. Bayar htm 30k aja udh bs gratis semua spot foto yg instagramable. Cocok jg buat yg ajak anak2 krn ada satwa2nya. Bisa dpt dua deh, wisata anak oke, dewasa oke. Akses jalannya juga bagus, tdk yg naik turun gunung. Tp emg ga ada view nya gunung merapi",Netral, , , , , , , ,1,Netral,0.8474
"Sebetulnya agak janggal dan ganjal sama mini zoonya karena aku memang gak suka dengan konsep zoo yang dibuat tanpa persiapan proper apalagi kandangnya kecil. Im just simply don't like and against it. Tapi selain itu, tempatnya bagus, …",Negatif, , , , , , , ,0,Negatif,0.9467
Tempat yg cocok buat mengexplore skaligis kasih edukasi buat anak² kita untuk lebih mengenal alam dan berbagai jenis binatang walau ini like a mini zoo., , , , , , , , ,2,Positif,0.9645
"Jalan menuju lokasi sudah cukup bagus, engga terlalu sempit juga. Cuma penunjuk arah menuju lokasi sepanjang perjalanan yang agak kurang, harusnya bisa ditambah agar memudahkan para pelancong. Apalagi yang dari luar Jogja. Fasilitas umum …",Netral, , , , , , , ,0,Negatif,0.8032
"Tempatnya bersih, banyak tempat sampah di sudut2 taman, ada handsoap di tempat pencucian tangan, orangnya ramah2, jalanannya ramah kursi roda", , , , , , , , ,2,Positif,0.9809
"Tempat selfie dengan background bangunan2 ala santorini, alpen house. Disediakan juga persewaan kostum agar fotonya lebih maksimal sesuai tema yg diusung. Tiket masuknya 20rb yg bisa ditukar dgn fresh milk", , , , , , , , ,2,Positif,0.9774
"sangat instagramable, cocok untuk wisata keluarga, krn banyak hewan2 dan bisa diajak foto bersama.", , , , , , , , ,2,Positif,0.9841
"Baguss, ada hewan2 nya ada ular juga, kita bisa foto2 kaya diluar negeri.", , , , , , , , ,2,Positif,0.8657
"Agro wisata bhumi merapi bagussss banget. Saya dateng pas banget sepi karna abis hujan. Koleksi binatangnya banyak, spot fotonya banyak dan bagus bagus bgt, fasilitas lengkap, bisa kasih makan hewan juga. Tempatnya lumayan luas, parkirannya …", , , , , , , , ,2,Positif,0.9702
Salah satu alternatif tempat wisata keluarga di Kaki Merapi. Tempatnya berhawa sejuk dan sangat luas. Anak-anak pasti akan suka. …, , , , , , , , ,2,Positif,0.9807
"Wisata edukasi yang menarik buat anak-anak. Di sini anak-anak bisa bermain dengan kelinci, kura-kura, juga memberi minum kambing menggunakan dot. Ada rumah hobbit juga untuk berfoto. Fasilitasnya terbilang lengkap. Ada warung, mushola, dan …", , , , , , , , ,2,Positif,0.9834
Tempatnya adem banyak pepohonan. Ada banyak hewan-hewan kecil yang disukai anak-anak seperti berbagai jenis varian kelinci. Yang paling favorit banyak dikunjungi wisatawan adalah ular Piton dan burung Kakatua karena menarik untuk difoto. Walaupun hari libur nasional namun antrian masuk tidak begitu panjang.,Positif, , , , , , , ,2,Positif,0.9795
Tempat nya oke banget...selain spot foto2 nya yg menarik.....juga ada binatang2 yg bisa kita kasih makan...dan bs diajak foto juga....😀 jadi ini tmpat wisata dgn paket lengkap deh pokok nya...👍👍👍😍 …, , , , , , , , ,2,Positif,0.9493
Terakhir kesini 4 tahun lalu dan kemarin akhirnya kesini dg para krucils alhamdulillah makin lengkap dan anak2 suka dengan aneka satwa dsitu dan tentunya makin menarik. Ramai karena weekend tp tetep seru karena tempat luas jadi tetap aman lah gk terlalu berjubel hehee,Netral, , , , , , , ,1,Netral,0.8652
"Hawanya sejuk krn banyak pepohonan, ada mini zoonya cocok juga utk wisata edukasi anak2, dan yg paling saya suka adalah spot foto ala eropanya. Gokil! Rekomended bangett", , , , , , , , ,2,Positif,0.9705
"Bersih.. ya kalo ada bau2 dikit wajar, kan kandang. cocok buat momong bocah. Ada berkuna, mini train dan spot foto bagus",Netral, , , , , , , ,2,Positif,0.9274
"Pas datang ke lokasinya pas ujan,suasana jadi syahdu dingin,tp buat edukasi anak lumayan bagus.", , , , , , , , ,1,Netral,0.8987
Tempat wisata yang bagus untuk keluarga dan anak2.. bisa kasi makan kelinci…, , , , , , , , ,2,Positif,0.9846
Rekomen utk yg suka spot spot foto instagramable, , , , , , , , ,2,Positif,0.9754
Tempat wisata yang menarik ada binatang binatang nya juga... Spot fotonya bagus2., , , , , , , , ,2,Positif,0.9793
"Tempatnya ok. Untuk makan berat adanya di kuar . 1 tiket harga 30k. Untuk yg spot foto bagus di lalang buana. Petunjuknya agak kurang jelas. Tanya aja ke pegawainya ""yg kayak santorini dimana?"" Karena lumayan jauh dari tempet tiket masuk",Netral, , , , , , , ,1,Netral,0.8865
"Small zoo, banyak spot foto yang cukup menarik.

Di tempat ini kota bisa melihat beberapa jenis satwa seperti burung hantu, nuri, …", , , , , , , , ,2,Positif,0.9764
"Tempatnya keren...ada mini zoonya yg bisa buat anak2 belajar dan menyayangi hewan, ada spot foto yg kerenlah, ada tempat bermainnya anak2, ada cafenya.anak2 suka.masnya pendamping kudanya juga sabar banget dan gemati jagaain anak yg sedang …", , , , , , , , ,2,Positif,0.9685
"Agro wisata Bumi Merapi tempatnya sangat sejuk, Asri, dan Indah, tiket murah kulinernya juga murah, enak, cocok dilidah siapa saja, bisa untuk wisata para pelajar sebagai pengalaman yang sangat menarik", , , , , , , , ,2,Positif,0.977
"Awalnya tidak sesuai ekspektasi, tp ya lumayan lah tempatnya buat hunting foto yg instagramable, sayang rame bgt tdk d batasi jd kurang nyaman buat hunting foto",Negatif, , , , , , , ,0,Negatif,0.9287
"Tempatnya bagus asri bersih, cocok membawa balita untuk memperkenalkan hewan. Hewan2 juga terawat dgn baik. Tiket masuk terjangkau, parkir luas, banyak spot. Banyak foodtruck juga tidak khawatir kelaparan.",Positif, , , , , , , ,2,Positif,0.9855
"Banyak spot foto di sana, tempatnya kids friendly, dan cocok untuk wisata keluarga", , , , , , , , ,2,Positif,0.9854
wisata edukasi buat anak anak di area jogja utara. tiket murah. parkir lumayan gampang. perlu di tingkatkan fasilitasnya. yg mau foto di spot terbarunya banyakin stok sabar yg banyak atau dateng di weekday saja., , , , , , , , ,2,Positif,0.6426
"Tempatnya super keren dan recommend. Parkirnya luas, ada tempat makan, bersih dan kelihatan terawat, fasilitas lengkap, hewannya banyak dan sudah diawasi oleh drh, banyak spot foto yang aesthetic. Untuk htm 30k worth it sih karena pas sepi juga.", , , , , , , , ,2,Positif,0.8921
"Pengalaman kedua berkunjung ke Agro Wisata Bhumi Merapi. Salah satu tempat tujuan tamu dari Pangkal Pinang.
Alhamdulillah tamu-tamu saya sangat senang. …", , , , , , , , ,2,Positif,0.7866
"Sebelum masuk harus menerapkan protokol kesehatan dulu seperti cuci tangan, cek suhu.
Tempatnya bagus, mbak mas penjaga nya ramah, tempatnya cocok untuk ngajak …", , , , , , , , ,2,Positif,0.734
"Agrowisata bhumi merapi terdiri dari 2 bagian :
1.Mini zoo ( kuda, domba, bebek, kambing , sapi,hewan2 yg di sawah gtu pokonya)
2.Langlang buana ( spot2 foto santorini dkk ) …", , , , , , , , ,2,Positif,0.9466
Oke sih.. Wajar kalau kandang hewan agak bau tp overall bersih dan layak dijadikan tempat wisata anak2 dan keluarga,Netral, , , , , , , ,1,Netral,0.9133
"Ke sini pas masih pagi jd sepi enak buat jalan jalan atau foto. Jenis hewannya jg lumayan banyak, mulai dari burung2an sampe reptil ada. Bisa kasih makan hewan dan naik kuda jg xixi. Rekomen bgt buat liburan bareng keluarga. Tiket masuknya cuman 25k dan lokasi ga begitu jauh dari jogja kota.", , , , , , , , ,2,Positif,0.7716
"Wisata menyenang n bagus untuk anak. Tiketnya masuknya cukup murah 20rb/org. Kasih makan kelinci 2500/plastik kecil, kasih minum kambing 5000/botol susu, n naik kuda 20rb. Mau foto sama hewan bayar se ikhlasnya. Dapat gratis susu segar satu gelas.", , , , , , , , ,1,Netral,0.5059
"Tempatnya luas. Banyak pilihan spot foto. Kalau kesini mending pagi pagi, biar gak terlalu ramai.
Tiket masuk 30k sangat amat sesuai sama apa yang didapat di dalam.
Minusnya satu: arah pintu keluar bikin bingung.", , , , , , , , ,1,Netral,0.5233
"Biaya masuk 30k, sudah bisa berkeliling melihat binatang (rusa, burung, domba, kelinci dll)
Spot fotonya juga lumayan banyak, ada spot ala2 di santorini, Swiss dll, …", , , , , , , , ,2,Positif,0.9564
Wisata edukasi yg cocok utk anak2. Hewan2 nya masih sedikit sihh. Dan masih pengembangan. Yg spot foto area2 kayak santorini dll bagus . HTM 25k,Netral, , , , , , , ,1,Netral,0.7633
"Tempatnya nyaman, waktu pandemi ini nyaman karena tidak terlalu ramai. Ramah anak2 banget, ngasih makan hewan dsb. …",Positif, , , , , , , ,2,Positif,0.9827
"Tempatnya bagus, ada view fotonya trus ada kaya kebun binatang mini gtuu... Htmnya 30k ada fasilitas kamar mandinya jugaa bersih kok tmpatnyaa", , , , , , , , ,2,Positif,0.76
"So funn! Berkunjung pada hari kerja membuat tempat wisata tidak begitu ramai. Harga tiket 30 ribu/orang, sudah termasuk foto-foto dengan berbagai satwa di dalam. Ada tempat penyewaan kostum, penunggangan kuda, musholla, dan restoran. Worth …",Positif, , , , , , , ,2,Positif,0.9816
"Kesini sore jam 3 an jadi aga sepi bisa swap foto banyak lokasi .
Biantangnya lumayan banyak. Ada reptil burung kelinci dll .
Parkiran  luas", , , , , , , , ,2,Positif,0.8656
"Alhamdulillah kesini pas lagi cerah, jadi bagus buat foto2, cocok untuk wisata keluarga ataupun dating hihu", , , , , , , , ,2,Positif,0.8753
"Kesini pas weekday dan sore sekitar jam 3 an gitu jadi cukup sepi jadi enak buat foto foto, lokasi nya gak terlalu jauh dari jalan besar. Didalam ada kebun binatang mini gitu cocok buat keluarga dan bawa anak anak. Parkir 10 rb dan tiket …", , , , , , , , ,2,Positif,0.8113
"Cocok sekali kemari dengan anak kecil, lokasi nya di kaliurang, udaranya sejuk, disini bisa menikmati mini zoo dengan hewan2 jinak seperti kucing, musang, kelinci, dan burung hantu (ada pawang nya), ada juga anakonda dan kura kura, juga …", , , , , , , , ,2,Positif,0.978
Seneng aja kalo kesini.. Anak2 betah... Deket jg dr rmh cuma 15 menit... Sejuk jg..., , , , , , , , ,1,Netral,0.5448
"Lumayan buat spot foto, mgkin klu gag ada ""santorini ""kurang rame..",Netral, , , , , , , ,1,Netral,0.8641
"Agrowisata yang seru untuk dikunjungi bersama keluarga/pasangan/teman. Ada beberapa fauna yang dapat diajak berinteraksi (burung, alpaca, ular, emmanuel).
Tempat cukup asri. …", , , , , , , , ,2,Positif,0.9816
"Yaps menurut aku ini lebih cocok untuk anak-anak. Heheheh
Karena disana banyak satwa, mulai dari unggas, reptil dan mamalia. Disana juga bisa foto bersama satwa, untuk pembayaran kalian bisa liat nanti disana ya HEHEHE …", , , , , , , , ,1,Netral,0.8973
Tempat yang cocok untuk berwisata edukasi bersama keluarga terutama yang ada anak kecil. Harga tiket 20ribu. Tiket bisa ditularkan dengan segrlas susu di kafetaria. Terdapat taman kelinci di mana kita bisa berinteraksi langsung sekaligus …, , , , , , , , ,2,Positif,0.9833
"Tempat yang sangat menarik untuk berwisata menghabiskan waktu bersama keluarga. Terdapat mini zoo dengan berbagai macam pilihan hewan. Cocok untuk edukasi anak-anak. Ada jenis mamalia, unggas, dan reptil. Di area dalam, terdapat paket untuk …", , , , , , , , ,2,Positif,0.9878
"Tempat wisata yang unik banyak spot foto sekaligus hewan hewan seperti alpaca, rusa, ikan bahkan burung-burung. selain itu bisa mengendarai kuda", , , , , , , , ,2,Positif,0.9862
"Tempat wisata kekinian, lucu, tapi panas banget hahaha mesti bawa payumg n topi
Banyak spot buat foto2",Netral, , , , , , , ,1,Netral,0.8901
Kebun binatang yang fleksibel banget dikunjungi berbagai usia. Cocok untuk wisata keluarga. Anak2 bisa belajar tentang satwa dan remaja juga ibu2 bapak2ny bisa foto2 dan cuci mata melihat pemandangannya. …, , , , , , , , ,2,Positif,0.9857
"Salah satu rekomendasi tempat wisata keluarga atau bagi yang suka foto instagramable, karena banyak pilihan spot foto dari tanaman bunga, hewan kelinci, kucing, kuda, dll, yang bisa di ajak foto hingga rumah ala eropa yang sempat viral, …", , , , , , , , ,2,Positif,0.9841
"Lumayan sih ada minizoo, tp malah kasihan klo binatang² itu dikurung di tempat kecil 🥺, pengunjung dilarang bawa makanan dan minuman dr luar, tp mestinya diimbangi tersedianya minuman segar ya, td hampir jam 12 stand minuman tidak ada es.nya …",Negatif, , , , , , , ,0,Negatif,0.9778
"Tempat wisata alam yg luas dan cukup menarik.

Tempatnya luas,  bagus,  asri dan sejuk. …", , , , , , , , ,2,Positif,0.9594
"tempat nya bagus..cuma jalanan masuk nya ga bagus,yang bawa stroler susah untuk dorong krn jalanan ga rata..kalau bisa di ratakan saja ..kalau ada anak anak berlari bisa jatuh kesandung..",Negatif, , , , , , , ,0,Negatif,0.9793
"Ada mini eropa gitu di dalemnya, little swiss terus little santorini. Sebelum bisa kesana, boleh mampir kesini dulu, latihan sebelum ke tempat aslinya. Ada banyak hewan juga, kita bisa foto bareng sama hewan2nya, tinggal kasih tips aja yang udah disiapin di kotaknya.", , , , , , , , ,1,Netral,0.7024
"Asri, tertata, bersih, bisa untuk refreshing keluarga, kalau siang cukup panas meskipun dekat gunung merapi
Bisa mencicipi rasanya berkuda. Ada spot foto juga dengan tiket tambahan tentunya",Netral, , , , , , , ,1,Netral,0.8598
"Area parkir luas. Biaya masuknya 30ribu per orang. Kebun binatang tapi ada spot foto iconic. Binatangnya ada kucing, rusa, burung unta, kelinci, kuda, binatang reptil, dll.. …", , , , , , , , ,2,Positif,0.9195
"Ticket parkir motor 5k
Ticket masuk perorang 30k
Kesana pas hari senin sepii dan ada sebagian yg di renovasi, cocok buat yg punya anak kecil buat lihat2 binatang, ada binatang jinak dan ada binatang2 yang ada di kebun binatang.", , , , , , , , ,2,Positif,0.9561
"Tempat yg cocok utk bermain bersama anak2 serta foto2 sangat istri tercinta. Bagi yg belum pernah ke luar negeri, disini ada spot foto seperti di luar negeri …", , , , , , , , ,2,Positif,0.9868
"Tempat lumayan luas. Fasilitas termasuk lengkap, ada kantin & restonya.
Cocok untuk wisata anak maupun dewasa. Anak-anak bis amengenal binatang di arwa ""mini zoo""nya, bahkan bisa memberi makan hewan yang ada di sana. Untuk remaja …", , , , , , , , ,2,Positif,0.9115
"tiket masuk 25k..bisa kasih makan kelinci, rusa, domba foto bareng ular, burung hantu..cocok buat wisata edukatif anak2.", , , , , , , , ,2,Positif,0.9859
"Kalau kesini datang weekday saja, tidak terlalu ramai, jadi bisa dapat spot foto banyak, tempat ok, nyaman, tapi kalau terlalu ramai sepertinya kurang nyaman",Netral, , , , , , , ,0,Negatif,0.8803
"Karcis 25 hanya untuk masuk
Didalamnya terdapat banyak hewan"" seperti kebun binatang dan untuk bisa memberi makan hewan tersebut kita bisa membeli makanan hewan tersebut ke tempat …", , , , , , , , ,2,Positif,0.45
"Bawa rombongan ksini. Parkir bis dbawa beda ama parkir mobil. Lbh dr 30orang diskon 5000/orang. Pernah ksini sblm ada bangunan foto2 itu, makin seru, hewannya banyak, sayang blm bs qris dan ud  ga ada susu gratis lagi 😆 …", , , , , , , , ,0,Negatif,0.8212
"dateng kesini karna penasaran bgt di tiktok akhirnya kesini pas hari minggu..gak rame rame bgt sih..tapi ccoknya buat anak"" ya wakk 🤣🤣 soalnya ada mini zoo juga lumayan komplit hewan reptilnya …", , , , , , , , ,1,Netral,0.739
"Harga tiket 30.000 per orang

area tidak begitu luas …",Negatif, , , , , , , ,0,Negatif,0.9626
"Cocok untuk liburan keluarga
Ada mini zoo dengan hewan yang beragam
Ada tempat yg instagramable untuk menambah koleksi foto", , , , , , , , ,2,Positif,0.9848
"Tempat yg cocok untuk berakhir pekan dengan anak2, mengenalkan berbagai macam hewan ke anak2 seperti burung hantu, burung elang, beberapa jenis kucing, ular, kura2 dll. Ada spot foto yg bagus dibagian belakang. Anak2 bisa naik kuda dengan membeli tiket. Ada resto untuk anak2 makan siang dengan berbagai macam menu makanan yg terjangkau", , , , , , , , ,2,Positif,0.9849
"Salah satu tempat rekomendasi untuk rekreasi bersama keluarga. Ada mini zoo, spot foto yang instagramable, resto, juga taman bermain anak.", , , , , , , , ,2,Positif,0.9872
"Tiket masuk 30rb an.
Bagi yang suka melihat hewan untuk anakanak bisa berkunjung kesini, satu hal yanb membuat menarik di tempat ini adalah miniatur rumah kota yang seperti labirin", , , , , , , , ,2,Positif,0.9683
"Tempatnya enak , nyaman dan petugas2 nya ramah.

-Lalu untuk sarana prasarana nya juga lengkap ada TOILET dan MUSHOLA jd ngga …", , , , , , , , ,2,Positif,0.699
"Pertama kali kesini, tempatnya keren bersih, terawat, meskipun sepertinya masih ada renovasi sedikit. Htm 20.000 sangat murah untuk tempat yg luass",Netral, , , , , , , ,1,Netral,0.8831
Bagus tempatnya...apalagi sambil mengajak anak2.mmg blm lengkap siy koleksinya tp cukuplah utk perkenalan pertama buat anak utk mengenal hewan., , , , , , , , ,1,Netral,0.8082
